lat	lon	title	description	icon	iconSize	iconOffset
52.5138083	13.391068	Augustiner am Gendarmenmarkt	Restaurant mit bayrischer Küche.<br><br>Charlottenstraße 55<br/>10117 Berlin<br/><br/>Tel: 030 20 45 40 20<br/><a href="http://www.augustiner-braeu-berlin.de">www.augustiner-braeu-berlin.de</a><br/><a href="mailto:info ät augustiner-braeu-berlin.de">info ät augustiner-braeu-berlin.de</a><br/><br/>Öffnungszeiten: Mo-Su 10:00-01:00<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=52.5138083&lon=13.391068&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=52.5138083&lon=13.391068&node=901804851&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/901804851">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
49.7819804	9.5091152	Löwenbiergarten	Biergarten mit bayrischer Küche.<br><br>Carl-Jacob-Kolb-Weg 2<br/>97877 Wertheim-Bestenheid<br/><br/>Tel: 09342 878-333<br/><br/>Öffnungszeiten: May-Sep 11:00-23:00<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=49.7819804&lon=9.5091152&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=49.7819804&lon=9.5091152&node=845855082&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/845855082">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
47.9480396	10.3959144	Schwarzer Adler	Restaurant mit regionaler Küche.<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=47.9480396&lon=10.3959144&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=47.9480396&lon=10.3959144&node=506457168&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/506457168">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
48.0058997	10.5951761	Rössle	Restaurant mit bayrischer und schwäbischer Küche.<br><br>Hauptstraße 14<br/>86825 Bad Wörishofen<br/><br/>Tel: 08247 5397<br/><br/>Öffnungszeiten: Mo-Su 10:00-24:00<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=48.0058997&lon=10.5951761&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=48.0058997&lon=10.5951761&node=676647303&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/676647303">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
48.0676346	11.2007919	Augustiner am Wörthsee	Restaurant mit regionaler Küche.<br><br>Seepromenade 1<br/>82237 Steinebach am Wörthsee<br/><br/>Tel: 08153 990366<br/><a href="http://www.augustiner-woerthsee.de">www.augustiner-woerthsee.de</a><br/><a href="mailto:info ät augustiner-woerthsee.de">info ät augustiner-woerthsee.de</a><br/><br/>Öffnungszeiten: Mo-Su 10:00-24:00<br/><br/>Rollstuhlgerecht!<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=48.0676346&lon=11.2007919&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=48.0676346&lon=11.2007919&node=966192103&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/966192103">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
47.998318	11.1775474	Hotel-Gasthof Zur Post	Restaurant mit bayrischer Küche.<br><br>Andechsstraße 1<br/>82211 Herrsching am Ammersee<br/><br/>Tel: 08152 396270<br/><a href="http://www.hotelzurpost-herrsching.de">www.hotelzurpost-herrsching.de</a><br/><br/>Öffnungszeiten: Mo-Su 11:00-23:00<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=47.998318&lon=11.1775474&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=47.998318&lon=11.1775474&node=297573829&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/297573829">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
47.5047988	9.7479694	Kornmesser	Restaurant mit regionaler Küche.<br><br>Kornmarktstraße 5<br/>6900 Bregenz<br/><br/>Tel: +43/5574/54854<br/><a href="http://www.kornmesser.at">www.kornmesser.at</a><br/><a href="mailto:salzgeber@kornmesser.at">salzgeber@kornmesser.at</a><br/><br/>Öffnungszeiten: Tu-Su 09:30-24:00<br/><br/>Notiz:Kein Ruhetag während der Sommer-Monate und Festspielzeit!<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=47.5047988&lon=9.7479694&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=47.5047988&lon=9.7479694&node=845842210&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/845842210">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
47.7322619	10.311031	Takobo	Restaurant<br><br>Hausnumer: 44<br/><br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=47.7322619&lon=10.311031&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=47.7322619&lon=10.311031&node=479154506&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/479154506">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
47.7146414	10.3111672	Club	Kneipe<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=47.7146414&lon=10.3111672&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=47.7146414&lon=10.3111672&node=751178354&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/751178354">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
47.6441856	10.3669074	Rottachstubn	Restaurant<br/><br/><hr/><span style="font-size:.6em"><a href="http://www.openstreetmap.org/?lat=47.6441856&lon=10.3669074&zoom=18">OSM-Permalink</a> <a href="http://www.openstreetmap.org/edit?lat=47.6441856&lon=10.3669074&node=484790639&zoom=18">Edit</a> <a href="http://www.openstreetmap.org/browse/node/484790639">Details</a></span>	./icon_augustiner_30x30.png	24,24	-12,-12
